time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-01T10:15:29.230Z,33.1083333,-115.599,7.5,2.85,ml,90,38,0.0584,0.26,ci,ci39645504,2020-12-12T22:28:29.040Z,"8km WSW of Calipatria, CA",earthquake,0.14,0.38,0.14,35,reviewed,ci,ci
2020-10-01T10:07:17.140Z,33.0396667,-115.5868333,5.45,2.85,ml,39,47,0.004367,0.34,ci,ci39645448,2020-10-01T15:14:37.810Z,"3km E of Westmorland, CA",earthquake,0.4,0.95,0.132,154,reviewed,ci,ci
2020-10-01T10:07:14.780Z,33.1031667,-115.5991667,5.84,2.66,ml,36,40,0.05782,0.23,ci,ci39645440,2020-12-12T22:28:30.040Z,"8km NNE of Westmorland, CA",earthquake,0.33,0.75,,1,reviewed,ci,ci
2020-10-01T09:28:50.620Z,33.0591667,-115.5806667,3.41,2.76,ml,75,47,0.02088,0.28,ci,ci39645264,2020-12-12T22:28:33.040Z,"4km ENE of Westmorland, CA",earthquake,0.16,0.3,0.168,41,reviewed,ci,ci
2020-10-01T08:39:39.680Z,33.0733333,-115.6053333,5.34,2.62,ml,77,39,0.04013,0.27,ci,ci39645032,2020-12-12T22:28:33.040Z,"4km NNE of Westmorland, CA",earthquake,0.16,0.41,0.155,31,reviewed,ci,ci
2020-10-01T07:39:28.053Z,38.1112,-118.2234,6.4,2.8,ml,31,49.28,0.143,0.1434,nn,nn00776516,2020-12-12T22:28:29.040Z,"32 km SSW of Mina, Nevada",earthquake,,3.3,0.25,19,reviewed,nn,nn
2020-10-01T07:15:51.460Z,33.0748333,-115.5988333,8.36,2.73,ml,85,32,0.03914,0.27,ci,ci39644712,2020-12-12T22:28:28.040Z,"5km NNE of Westmorland, CA",earthquake,0.15,0.47,0.191,29,reviewed,ci,ci
2020-10-01T07:10:24.250Z,33.0713333,-115.6,10.4,3.01,ml,58,39,0.03631,0.24,ci,ci39644672,2020-12-12T22:28:28.040Z,"4km NNE of Westmorland, CA",earthquake,0.19,0.43,0.133,87,reviewed,ci,ci
2020-10-01T06:58:14.270Z,33.055,-115.6086667,0.14,3.09,ml,8,113,0.028,0.19,ci,ci37456541,2020-12-12T22:28:31.040Z,"2km NNE of Westmorland, CA",earthquake,0.31,14.32,0.156,6,reviewed,ci,ci
2020-10-01T06:57:58.280Z,33.061,-115.5963333,10.58,3.46,mw,52,43,0.02571,0.26,ci,ci39644616,2020-12-12T22:28:28.040Z,"4km NE of Westmorland, CA",earthquake,0.22,0.49,,4,reviewed,ci,ci
2020-10-01T06:29:32.690Z,33.0746667,-115.6003333,7.54,2.73,ml,84,32,0.03947,0.28,ci,ci39644432,2020-12-12T22:28:28.040Z,"5km NNE of Westmorland, CA",earthquake,0.15,0.4,0.137,31,reviewed,ci,ci
2020-10-01T06:16:15.230Z,33.0545,-115.5835,8.82,2.5,ml,71,48,0.01625,0.25,ci,ci39644384,2020-12-12T22:28:28.040Z,"4km ENE of Westmorland, CA",earthquake,0.16,0.44,0.141,29,reviewed,ci,ci
2020-10-01T04:54:23.740Z,33.0371667,-115.588,5.43,2.71,ml,73,28,0.00523,0.26,ci,ci39643920,2020-12-12T22:28:28.040Z,"3km E of Westmorland, CA",earthquake,0.15,0.36,0.177,32,reviewed,ci,ci
2020-10-01T04:21:04.270Z,33.0776667,-115.5926667,5.43,2.74,ml,69,39,0.04032,0.23,ci,ci39643720,2020-12-12T22:28:28.040Z,"5km NNE of Westmorland, CA",earthquake,0.14,0.36,0.129,35,reviewed,ci,ci
2020-10-01T04:12:04.380Z,33.0628333,-115.5703333,3.23,2.58,ml,83,49,0.02636,0.26,ci,ci39643656,2020-12-12T22:28:33.040Z,"6km ENE of Westmorland, CA",earthquake,0.14,0.28,0.18,45,reviewed,ci,ci
2020-10-01T03:50:58.710Z,33.0581667,-115.5921667,4.74,2.5,ml,32,46,0.02164,0.27,ci,ci39643472,2020-12-12T22:28:33.040Z,"4km NE of Westmorland, CA",earthquake,0.42,0.86,0.147,30,automatic,ci,ci
2020-10-01T03:50:14.240Z,33.0581667,-115.5858333,9.82,2.76,ml,78,47,0.02012,0.25,ci,ci39643464,2020-12-12T22:28:28.040Z,"4km NE of Westmorland, CA",earthquake,0.15,0.35,0.174,29,reviewed,ci,ci
2020-10-01T03:45:54.210Z,33.068,-115.594,5.94,2.57,ml,70,40,0.03135,0.25,ci,ci39643424,2020-12-12T22:28:32.040Z,"4km NE of Westmorland, CA",earthquake,0.16,0.35,0.153,35,reviewed,ci,ci
2020-10-01T03:40:49.340Z,33.0745,-115.5866667,8.44,3.14,ml,39,54,0.03636,0.26,ci,ci39643368,2020-12-12T22:28:29.040Z,"5km NE of Westmorland, CA",earthquake,0.27,0.65,0.095,19,reviewed,ci,ci
2020-10-01T03:40:16.260Z,33.0706667,-115.5963333,4.77,3.66,ml,59,39,0.03451,0.27,ci,ci39643360,2020-12-12T22:28:28.040Z,"4km NNE of Westmorland, CA",earthquake,0.21,0.56,0.179,84,reviewed,ci,ci
2020-10-01T03:39:49.980Z,33.0761667,-115.5981667,7.02,2.5,ml,67,45,0.04019,0.25,ci,ci39643352,2020-12-12T22:28:32.040Z,"5km NNE of Westmorland, CA",earthquake,0.17,0.46,0.068,16,reviewed,ci,ci
2020-10-01T03:38:53.380Z,33.0335,-115.6091667,0.99,3.02,ml,8,84,0.02338,0.17,ci,ci37456597,2020-12-12T22:28:31.040Z,"1km ESE of Westmorland, CA",earthquake,0.37,3.26,0.084,7,reviewed,ci,ci
2020-10-01T03:38:39.130Z,33.0486667,-115.6126667,0.14,2.97,ml,11,114,0.02784,0.27,ci,ci37456581,2020-12-12T22:28:31.040Z,"2km NNE of Westmorland, CA",earthquake,0.48,1.72,0.233,6,reviewed,ci,ci
2020-10-01T03:38:28.620Z,33.0646667,-115.5915,4.62,3.43,ml,47,43,0.02754,0.26,ci,ci39643344,2020-12-12T22:28:28.040Z,"4km NE of Westmorland, CA",earthquake,0.23,0.6,0.124,4,reviewed,ci,ci
2020-10-01T03:38:12.820Z,33.0488333,-115.611,3.02,2.91,ml,5,125,0.02661,0.13,ci,ci37456573,2020-11-10T21:57:48.040Z,"2km NE of Westmorland, CA",earthquake,0.55,31.61,0.132,3,reviewed,ci,ci
2020-10-01T03:37:54.500Z,33.0408333,-115.5938333,3.54,3.45,ml,31,54,0.01034,0.22,ci,ci39643336,2020-12-12T22:28:28.040Z,"3km E of Westmorland, CA",earthquake,0.26,0.45,0.095,6,reviewed,ci,ci
2020-10-01T03:37:04.380Z,33.0518333,-115.575,8.65,4.02,ml,11,90,0.01473,0.21,ci,ci37456405,2020-12-12T22:28:30.040Z,"5km ENE of Westmorland, CA",earthquake,0.48,0.83,0.148,6,reviewed,ci,ci
2020-10-01T03:36:34.130Z,33.0661667,-115.5971667,5.68,4.45,mw,64,40,0.03064,0.29,ci,ci39643328,2020-12-12T22:28:28.040Z,"4km NE of Westmorland, CA",earthquake,0.21,0.51,,6,reviewed,ci,ci
2020-10-01T03:32:57.950Z,33.0711667,-115.5986667,11.29,3.43,ml,69,39,0.03571,0.25,ci,ci39643288,2020-12-12T22:28:28.040Z,"4km NNE of Westmorland, CA",earthquake,0.18,0.35,0.123,103,reviewed,ci,ci
2020-10-01T03:31:00.900Z,33.084,-115.5898333,11.14,3.5,ml,75,55,0.0461,0.27,ci,ci39643256,2020-12-12T22:28:28.040Z,"6km NNE of Westmorland, CA",earthquake,0.21,0.4,0.114,238,reviewed,ci,ci
2020-10-01T03:05:28.740Z,33.0751667,-115.6001667,9.44,2.7,ml,82,32,0.03987,0.26,ci,ci39643040,2020-12-12T22:28:32.040Z,"5km NNE of Westmorland, CA",earthquake,0.15,0.35,0.121,30,reviewed,ci,ci
2020-10-01T02:48:47.671Z,38.1475,-117.9175,9,3,ml,32,45.34,0.034,0.1429,nn,nn00776479,2020-12-12T22:28:27.040Z,"Nevada",earthquake,,0.6,0.27,17,reviewed,nn,nn
2020-10-01T02:15:22.620Z,33.0441667,-115.5925,5.77,2.73,ml,79,46,0.01067,0.28,ci,ci39642608,2020-12-12T22:28:32.040Z,"3km ENE of Westmorland, CA",earthquake,0.16,0.36,0.14,37,reviewed,ci,ci
2020-10-01T01:47:11.340Z,33.0245,-115.6145,15.74,3.19,ml,9,181,0.03062,0.24,ci,ci37456549,2020-12-12T22:28:31.040Z,"2km SSE of Westmorland, CA",earthquake,0.98,1.19,0.065,4,reviewed,ci,ci
2020-10-01T01:46:52.050Z,33.0663333,-115.5871667,13.59,3.46,ml,63,44,0.02834,0.25,ci,ci39642320,2020-12-12T22:28:27.040Z,"4km NE of Westmorland, CA",earthquake,0.19,0.44,0.133,129,reviewed,ci,ci
2020-10-01T01:46:43.990Z,33.0471667,-115.591,3.32,2.64,ml,17,75,0.01171,0.25,ci,ci39642328,2020-10-01T02:39:16.172Z,"3km ENE of Westmorland, CA",earthquake,0.55,0.41,0.005,2,reviewed,ci,ci
2020-10-01T01:44:24.110Z,33.0585,-115.595,3.8,2.51,ml,23,62,0.02298,0.22,ci,ci39642272,2020-12-12T22:28:27.040Z,"3km NE of Westmorland, CA",earthquake,0.4,0.33,0.059,5,reviewed,ci,ci
2020-10-01T01:43:51.170Z,33.0678333,-115.5978333,5.65,2.57,ml,71,38,0.03238,0.24,ci,ci39642256,2020-12-12T22:28:32.040Z,"4km NNE of Westmorland, CA",earthquake,0.15,0.33,0.177,32,reviewed,ci,ci
2020-10-01T01:30:01.750Z,33.0418333,-115.5961667,2.09,2.95,ml,25,55,0.01249,0.35,ci,ci39642096,2020-12-12T22:28:27.040Z,"2km ENE of Westmorland, CA",earthquake,0.62,0.64,0.141,173,reviewed,ci,ci
2020-10-01T01:27:15.610Z,33.0456667,-115.5571667,8.95,2.72,ml,7,159,0.02206,0.31,ci,ci39642048,2020-12-12T22:28:32.040Z,"6km E of Westmorland, CA",earthquake,2.22,1.6,0.057,2,reviewed,ci,ci
2020-10-01T01:26:56.480Z,33.0613333,-115.5863333,11.29,2.99,ml,58,46,0.02331,0.25,ci,ci39642056,2020-12-12T22:28:27.040Z,"4km NE of Westmorland, CA",earthquake,0.19,0.35,0.136,87,reviewed,ci,ci
2020-10-01T01:25:21.030Z,33.064,-115.5916667,5.73,2.57,ml,66,43,0.02695,0.24,ci,ci39642040,2020-12-12T22:28:32.040Z,"4km NE of Westmorland, CA",earthquake,0.16,0.34,0.208,26,reviewed,ci,ci
2020-10-01T01:24:07.210Z,33.0393333,-115.6033333,4.65,2.59,ml,9,113,0.01803,0.34,ci,ci37456629,2020-12-12T22:28:35.040Z,"2km E of Westmorland, CA",earthquake,0.98,1.6,0.079,2,reviewed,ci,ci
2020-10-01T01:22:37.400Z,33.0636667,-115.592,8.19,2.65,ml,80,43,0.02672,0.23,ci,ci39642016,2020-12-12T22:28:32.040Z,"4km NE of Westmorland, CA",earthquake,0.15,0.41,0.18,30,reviewed,ci,ci
2020-10-01T01:21:09.920Z,33.0593333,-115.5968333,7.36,2.81,ml,71,44,0.02447,0.23,ci,ci39642000,2020-12-12T22:28:27.040Z,"3km NE of Westmorland, CA",earthquake,0.15,0.38,0.162,26,reviewed,ci,ci
2020-10-01T01:17:36.630Z,33.0633333,-115.5865,11.42,3.46,mw,30,61,0.0253,0.22,ci,ci39641968,2020-12-12T22:28:27.040Z,"4km NE of Westmorland, CA",earthquake,0.29,0.47,,4,reviewed,ci,ci
2020-10-01T01:17:34.684Z,44.3636,-115.1919,10,2.7,ml,,73,0.306,0.69,us,us6000c3x6,2020-12-12T22:28:29.040Z,"southern Idaho",earthquake,1.4,2,0.051,50,reviewed,us,us
2020-10-01T01:16:03.340Z,32.8678333,-115.636,11.06,2.92,ml,21,47,0.07168,0.31,ci,ci37457237,2020-12-12T22:28:43.040Z,"7km WNW of Imperial, CA",earthquake,0.5,1.04,0.192,5,reviewed,ci,ci
2020-10-01T01:15:53.680Z,33.0688333,-115.6028333,7.67,3.15,ml,60,36,0.03519,0.26,ci,ci39641952,2020-12-12T22:28:27.040Z,"4km NNE of Westmorland, CA",earthquake,0.19,0.47,0.159,73,reviewed,ci,ci
2020-10-01T01:14:11.260Z,33.0618333,-115.5845,9.57,2.69,ml,69,50,0.02361,0.25,ci,ci39641936,2020-12-12T22:28:32.040Z,"4km NE of Westmorland, CA",earthquake,0.17,0.4,0.189,28,reviewed,ci,ci
2020-10-01T01:13:23.180Z,33.0545,-115.5676667,10.88,2.79,ml,62,70,0.02013,0.28,ci,ci39641928,2020-12-12T22:28:27.040Z,"5km ENE of Westmorland, CA",earthquake,0.23,0.41,0.211,20,reviewed,ci,ci
2020-10-01T01:11:57.530Z,33.059,-115.5923333,5.14,2.75,ml,35,46,0.02246,0.23,ci,ci39641904,2020-12-12T22:28:43.040Z,"4km NE of Westmorland, CA",earthquake,0.25,0.51,0.216,11,reviewed,ci,ci
2020-10-01T01:11:30.310Z,33.0488333,-115.5841667,7.18,3.12,ml,42,56,0.01071,0.29,ci,ci39641896,2020-12-12T22:28:27.040Z,"4km ENE of Westmorland, CA",earthquake,0.28,0.53,0.205,14,reviewed,ci,ci
2020-10-01T01:11:05.600Z,33.0428333,-115.5813333,7.45,3.64,ml,26,61,0.004586,0.26,ci,ci39641888,2020-12-12T22:28:27.040Z,"4km E of Westmorland, CA",earthquake,0.38,0.73,0.232,6,reviewed,ci,ci
2020-10-01T01:10:44.930Z,33.0466667,-115.5913333,7.8,3.82,ml,18,77,0.01153,0.33,ci,ci37456509,2020-12-12T22:28:30.040Z,"3km ENE of Westmorland, CA",earthquake,0.65,0.99,0.123,4,reviewed,ci,ci
2020-10-01T01:10:25.770Z,33.0436667,-115.59,11.12,4.12,mw,60,47,0.008675,0.29,ci,ci39641880,2020-12-12T22:28:27.040Z,"3km ENE of Westmorland, CA",earthquake,0.22,0.46,,5,reviewed,ci,ci
2020-10-01T01:07:53.880Z,33.0416667,-115.591,6.2,2.67,ml,42,48,0.008357,0.25,ci,ci39641864,2020-12-12T22:28:27.040Z,"3km E of Westmorland, CA",earthquake,0.24,0.47,0.302,8,reviewed,ci,ci
2020-10-01T01:07:34.420Z,33.0463333,-115.5786667,9.16,2.59,ml,46,48,0.0085,0.2,ci,ci39641856,2020-12-12T22:28:27.040Z,"4km ENE of Westmorland, CA",earthquake,0.18,0.36,0.153,21,reviewed,ci,ci
2020-10-01T01:06:23.010Z,33.056,-115.5991667,9.63,3.3,ml,71,44,0.02287,0.27,ci,ci39641848,2020-12-12T22:28:27.040Z,"3km NE of Westmorland, CA",earthquake,0.19,0.47,0.158,43,reviewed,ci,ci
2020-10-01T01:05:05.530Z,33.0583344,-115.5993347,6.59,3.35,ml,74,44,0.0248,0.28,ci,ci39641840,2020-12-12T22:28:27.040Z,"3km NE of Westmorland, CA",earthquake,0.25,0.77,0.455,22,reviewed,ci,ci
2020-10-01T01:00:14.500Z,33.0495,-115.5896667,8.54,3.12,ml,54,47,0.01297,0.28,ci,ci39641784,2020-12-12T22:28:27.040Z,"3km ENE of Westmorland, CA",earthquake,0.23,0.57,0.13,30,reviewed,ci,ci
2020-10-01T00:59:21.370Z,33.0423333,-115.5758333,9.24,3.18,ml,14,125,0.006523,0.23,ci,ci37456485,2020-12-12T22:28:30.040Z,"4km E of Westmorland, CA",earthquake,0.55,0.82,0.157,3,reviewed,ci,ci
2020-10-01T00:58:13.850Z,33.065,-115.5933333,11.05,4.09,mw,101,41,0.02834,0.28,ci,ci39641768,2020-12-12T22:28:27.040Z,"4km NE of Westmorland, CA",earthquake,0.15,0.34,,6,reviewed,ci,ci
2020-10-01T00:57:18.370Z,33.067,-115.6085,0.91,2.6,ml,9,123,0.03633,0.39,ci,ci39641760,2020-12-12T22:28:27.040Z,"4km NNE of Westmorland, CA",earthquake,0.86,1.33,0.247,6,reviewed,ci,ci
2020-10-01T00:53:29.390Z,33.054,-115.5841667,2.91,2.66,ml,37,56,0.01581,0.32,ci,ci37457189,2020-10-05T21:24:11.360Z,"4km ENE of Westmorland, CA",earthquake,0.25,0.32,0.079,7,reviewed,ci,ci
2020-10-01T00:53:22.420Z,33.0466667,-115.6171667,2.99,2.77,ml,46,46,0.03078,0.3,ci,ci37457181,2020-10-05T21:25:54.131Z,"1km NNE of Westmorland, CA",earthquake,0.25,0.41,0.133,9,reviewed,ci,ci
2020-10-01T00:53:13.080Z,33.0528333,-115.5846667,10.08,2.95,ml,75,47,0.01472,0.23,ci,ci39641736,2020-12-12T22:28:27.040Z,"4km ENE of Westmorland, CA",earthquake,0.14,0.36,0.159,28,reviewed,ci,ci
2020-10-01T00:51:20.910Z,33.0595,-115.5841667,6.95,2.53,ml,34,81,0.02127,0.28,ci,ci39641720,2020-12-12T22:28:27.040Z,"4km NE of Westmorland, CA",earthquake,0.3,0.64,0.148,10,reviewed,ci,ci
2020-10-01T00:51:11.520Z,33.0335,-115.5835,4.56,2.63,ml,34,71,0.004931,0.21,ci,ci37456429,2020-12-12T22:28:33.040Z,"4km E of Westmorland, CA",earthquake,0.26,0.43,0.174,12,reviewed,ci,ci
2020-10-01T00:50:55.360Z,33.0433333,-115.5866667,8.22,3.4,ml,43,47,0.006447,0.26,ci,ci39641712,2020-12-12T22:28:26.040Z,"3km ENE of Westmorland, CA",earthquake,0.24,0.6,0.317,16,reviewed,ci,ci
2020-10-01T00:50:48.990Z,33.03767,-115.58383,3.3,2.85,ml,12,83,0.005762,0.14,ci,ci39641704,2020-12-12T22:28:26.040Z,"4km E of Westmorland, CA",earthquake,0.62,0.47,0.21,32,automatic,ci,ci
2020-10-01T00:50:21.420Z,33.0556667,-115.5891667,4.9,3.22,ml,53,47,0.0184,0.25,ci,ci39641696,2020-12-12T22:28:26.040Z,"4km NE of Westmorland, CA",earthquake,0.2,0.49,0.142,204,reviewed,ci,ci
2020-10-01T00:49:54.860Z,33.0335,-115.5798333,5.49,2.59,ml,57,48,0.005057,0.2,ci,ci39641688,2020-12-12T22:28:26.040Z,"4km E of Westmorland, CA",earthquake,0.15,0.47,0.246,20,reviewed,ci,ci
2020-10-01T00:48:06.170Z,33.0478333,-115.5743333,9.87,3.41,ml,31,69,0.01147,0.27,ci,ci39641672,2020-12-12T22:28:26.040Z,"4km ENE of Westmorland, CA",earthquake,0.33,0.63,0.114,4,reviewed,ci,ci
2020-10-01T00:47:57.620Z,33.0396667,-115.5926667,3.99,2.5,ml,34,48,0.009144,0.18,ci,ci39641664,2020-12-12T22:28:26.040Z,"3km E of Westmorland, CA",earthquake,0.18,0.26,0.12,11,reviewed,ci,ci
2020-10-01T00:47:18.930Z,33.0478333,-115.5895,5.06,3.35,ml,54,47,0.01148,0.25,ci,ci39641656,2020-12-12T22:28:26.040Z,"3km ENE of Westmorland, CA",earthquake,0.2,0.43,0.15,75,reviewed,ci,ci
2020-10-01T00:46:05.710Z,33.0506667,-115.5878333,7.75,2.88,ml,84,49,0.01334,0.28,ci,ci39641648,2020-12-12T22:28:26.040Z,"4km ENE of Westmorland, CA",earthquake,0.16,0.34,0.161,29,reviewed,ci,ci
2020-10-01T00:45:02.014Z,33.0683,-115.6202,4.99,2.6,ml,,142,0.372,0.42,us,us6000c8w1,2020-12-12T22:28:53.040Z,"3 km N of Westmorland, California",earthquake,1.2,5.5,0.066,30,reviewed,us,us
2020-10-01T00:44:00.640Z,33.0536667,-115.5838333,2.91,2.68,ml,15,67,0.01545,0.25,ci,ci37457365,2020-12-12T22:28:46.040Z,"4km ENE of Westmorland, CA",earthquake,0.35,0.35,0.114,4,reviewed,ci,ci
2020-10-01T00:43:40.350Z,33.059,-115.5931667,6.03,3.01,ml,50,46,0.02274,0.27,ci,ci39641632,2020-12-12T22:28:26.040Z,"4km NE of Westmorland, CA",earthquake,0.22,0.64,0.161,55,reviewed,ci,ci
2020-10-01T00:43:11.470Z,33.0516667,-115.581,6.21,2.64,ml,46,47,0.01339,0.19,ci,ci39641624,2020-12-12T22:28:26.040Z,"4km ENE of Westmorland, CA",earthquake,0.16,0.52,0.223,13,reviewed,ci,ci
2020-10-01T00:41:34.960Z,33.0236667,-115.5776667,5.65,3.58,ml,12,224,0.01498,0.34,ci,ci37456517,2020-11-21T04:29:32.407Z,"4km ESE of Westmorland, CA",earthquake,1.13,0.75,0.078,5,reviewed,ci,ci
2020-10-01T00:41:18.390Z,33.0713333,-115.5983333,11.22,4.18,mw,68,39,0.03575,0.24,ci,ci39641616,2020-12-12T22:28:26.040Z,"4km NNE of Westmorland, CA",earthquake,0.18,0.43,,4,reviewed,ci,ci
2020-10-01T00:39:28.360Z,33.0566667,-115.6161667,2.51,2.78,ml,7,123,0.03413,0.24,ci,ci37457509,2020-12-12T22:28:49.040Z,"2km NNE of Westmorland, CA",earthquake,0.7,1.02,0.204,4,reviewed,ci,ci
2020-10-01T00:39:15.700Z,33.041,-115.5908333,7.46,3.07,ml,23,49,0.007978,0.25,ci,ci37457501,2020-12-12T22:28:49.040Z,"3km E of Westmorland, CA",earthquake,0.33,0.57,0.293,8,reviewed,ci,ci
2020-10-01T00:39:01.240Z,33.0555,-115.6051667,2.86,2.79,ml,19,59,0.02602,0.17,ci,ci39641600,2020-12-12T22:28:26.040Z,"2km NE of Westmorland, CA",earthquake,0.33,0.51,0.088,4,reviewed,ci,ci
2020-10-01T00:38:43.880Z,33.038,-115.6063333,2.26,3.33,ml,17,115,0.02052,0.24,ci,ci39641592,2020-12-12T22:28:54.040Z,"1km E of Westmorland, CA",earthquake,0.4,0.48,0.299,9,reviewed,ci,ci
2020-10-01T00:38:37.000Z,33.0583333,-115.5891667,3.15,2.72,ml,29,110,0.02093,0.24,ci,ci39641584,2020-12-12T22:28:26.040Z,"4km NE of Westmorland, CA",earthquake,0.44,0.34,0.2,8,reviewed,ci,ci
2020-10-01T00:36:51.710Z,33.0483333,-115.5811667,5.98,3.02,ml,24,67,0.01007,0.2,ci,ci39641576,2020-12-12T22:28:26.040Z,"4km ENE of Westmorland, CA",earthquake,0.35,0.54,0.22,10,reviewed,ci,ci
2020-10-01T00:36:30.510Z,33.0328333,-115.5868333,3.77,3.46,ml,33,47,0.006811,0.23,ci,ci39641568,2020-12-12T22:28:26.040Z,"3km E of Westmorland, CA",earthquake,0.23,0.33,0.179,8,reviewed,ci,ci
2020-10-01T00:36:15.970Z,33.0313333,-115.5778333,3.88,2.94,ml,22,66,0.00771,0.2,ci,ci39641560,2020-12-12T22:28:26.040Z,"4km E of Westmorland, CA",earthquake,0.3,0.32,0.244,9,reviewed,ci,ci
2020-10-01T00:35:43.950Z,33.0446667,-115.5826667,4.67,2.97,ml,19,62,0.006421,0.22,ci,ci39641552,2020-12-12T22:28:26.040Z,"4km ENE of Westmorland, CA",earthquake,0.34,0.62,0.193,9,reviewed,ci,ci
2020-10-01T00:34:00.750Z,33.0283333,-115.5998333,1.71,3.7,ml,21,59,0.01802,0.33,ci,ci37456501,2020-10-07T19:47:08.282Z,"2km ESE of Westmorland, CA",earthquake,0.35,0.54,0.312,3,reviewed,ci,ci
2020-10-01T00:33:48.650Z,33.0468333,-115.59,5.93,3.9,ml,52,47,0.01092,0.28,ci,ci39641544,2020-12-12T22:28:26.040Z,"3km ENE of Westmorland, CA",earthquake,0.23,0.61,0.236,13,reviewed,ci,ci
2020-10-01T00:31:27.340Z,33.056,-115.5898333,11.54,4.93,mw,111,47,0.0189,0.31,ci,ci39641528,2020-12-12T22:28:26.040Z,"4km NE of Westmorland, CA",earthquake,0.17,0.36,,7,reviewed,ci,ci
2020-10-01T00:28:11.240Z,33.0435,-115.5888333,5.61,2.59,ml,76,46,0.007818,0.24,ci,ci39641520,2020-12-12T22:28:26.040Z,"3km ENE of Westmorland, CA",earthquake,0.14,0.33,0.192,32,reviewed,ci,ci
2020-09-30T23:58:02.300Z,33.0493333,-115.5846667,9.57,3.69,mw,92,47,0.01128,0.27,ci,ci39641288,2020-12-12T22:28:25.040Z,"4km ENE of Westmorland, CA",earthquake,0.14,0.44,,4,reviewed,ci,ci
2020-09-30T23:57:07.490Z,33.0495,-115.5895,5.25,2.66,ml,72,47,0.0129,0.27,ci,ci39641280,2020-12-12T22:28:26.040Z,"3km ENE of Westmorland, CA",earthquake,0.16,0.39,0.091,31,reviewed,ci,ci
2020-09-30T23:46:50.700Z,33.047,-115.5826667,3.12,2.51,ml,37,51,0.008739,0.24,ci,ci39641184,2020-12-12T22:28:25.040Z,"4km ENE of Westmorland, CA",earthquake,0.36,0.47,0.175,28,automatic,ci,ci
2020-09-30T23:45:03.310Z,33.0458333,-115.5933333,3.3,2.92,ml,90,46,0.01221,0.22,ci,ci39641176,2020-12-12T22:28:25.040Z,"3km ENE of Westmorland, CA",earthquake,0.11,0.23,0.158,32,reviewed,ci,ci
2020-09-30T23:39:39.910Z,33.0395,-115.5703333,5.45,2.8,ml,53,58,0.009802,0.28,ci,ci39641136,2020-12-12T22:28:25.040Z,"5km E of Westmorland, CA",earthquake,0.22,0.35,0.128,24,reviewed,ci,ci
2020-09-30T23:39:07.980Z,33.0460014,-115.571167,5.51,2.51,ml,19,127,0.01188,0.14,ci,ci39641120,2020-09-30T23:41:16.313Z,"5km ENE of Westmorland, CA",earthquake,0.54,0.82,0.197,9,automatic,ci,ci
2020-09-30T23:38:06.380Z,33.042,-115.5855,5.27,3.22,ml,44,64,0.004796,0.22,ci,ci39641112,2020-12-12T22:28:25.040Z,"3km E of Westmorland, CA",earthquake,0.26,0.49,0.169,104,reviewed,ci,ci
2020-09-30T23:35:19.330Z,33.041,-115.5826667,3.25,2.58,ml,51,48,0.002805,0.21,ci,ci39641096,2020-12-12T22:28:25.040Z,"4km E of Westmorland, CA",earthquake,0.16,0.2,0.128,12,reviewed,ci,ci
2020-09-30T23:34:45.070Z,33.0466667,-115.5811667,3.19,2.92,ml,13,107,0.008407,0.26,ci,ci37457093,2020-10-05T18:04:27.821Z,"4km ENE of Westmorland, CA",earthquake,0.55,0.83,0.172,7,reviewed,ci,ci
2020-09-30T23:34:26.010Z,33.0538333,-115.593,2.76,3.09,ml,49,46,0.01811,0.28,ci,ci39641088,2020-12-12T22:28:25.040Z,"3km NE of Westmorland, CA",earthquake,0.22,0.39,0.178,22,reviewed,ci,ci
2020-09-30T23:34:18.140Z,33.0576667,-115.5975,2.94,2.98,ml,15,93,0.02337,0.23,ci,ci37457117,2020-10-05T18:11:45.865Z,"3km NE of Westmorland, CA",earthquake,0.46,0.53,0.119,4,reviewed,ci,ci
2020-09-30T23:34:08.200Z,33.0443333,-115.5866667,3.84,2.88,ml,40,47,0.007256,0.21,ci,ci39641080,2020-12-12T22:28:25.040Z,"3km ENE of Westmorland, CA",earthquake,0.2,0.39,0.163,23,reviewed,ci,ci
2020-09-30T23:33:34.050Z,33.0485,-115.5971667,3.1,3.37,ml,15,80,0.01639,0.23,ci,ci39641072,2020-12-12T22:28:25.040Z,"3km ENE of Westmorland, CA",earthquake,0.66,0.67,0.152,16,reviewed,ci,ci
2020-09-30T23:31:51.790Z,33.053,-115.5955,4.78,4.35,mw,97,46,0.01861,0.3,ci,ci39641064,2020-12-12T22:28:25.040Z,"3km NE of Westmorland, CA",earthquake,0.17,0.41,,4,reviewed,ci,ci
2020-09-30T23:31:11.260Z,33.0433333,-115.5871667,3.23,2.88,ml,19,59,0.006715,0.19,ci,ci39641056,2020-12-12T22:28:25.040Z,"3km ENE of Westmorland, CA",earthquake,0.49,0.55,0.21,8,reviewed,ci,ci
2020-09-30T23:30:43.720Z,33.039,-115.5915,3.18,2.82,ml,70,44,0.008089,0.26,ci,ci39641048,2020-12-12T22:28:25.040Z,"3km E of Westmorland, CA",earthquake,0.15,0.25,0.14,32,reviewed,ci,ci
